"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","avg_acc","similar"
"119","71",3565,1,"2","Female","Not Hispanic","Caucasian","e","d","b",2.56,30.71,7,0,"Leaf","1","Right","JacketLeaf",0.75,"similar"
"120","73",2871,0,"2","Male","Not Hispanic","Caucasian","e","e","e",2.27,27.19,1,0,"Clock","1","Right","ClockBicycle",0.7,"similar"
"121","74",3105,1,"2","Male","Not Hispanic","Caucasian","f","d","h",2.52,30.21,2,0,"Shoe","1","Left","ShoeSock",0.85,"similar"
"122","75",3022,1,"2","Female","Not Hispanic","Caucasian","f","e","b",2.56,30.71,3,0,"Jacket","1","Left","JacketLeaf",0.8,"similar"
"123","76",3915,1,"2","Female","Not Hispanic","Caucasian","d","d","d",2.22,26.7,4,0,"Balloons","1","Left","BalloonsGrapes",0.9,"similar"
"124","77",2599,1,"2","Female","Not Hispanic","African American/Caucasian","e","d","d",2.49,29.85,5,0,"Bicycle","1","Right","ClockBicycle",0.631578947368421,"similar"
"125","78",2811,1,"2","Female","Not Hispanic","Caucasian","f","c","d",2.43,29.16,6,0,"Sock","1","Right","ShoeSock",0.95,"similar"
"126","79",3707,1,"2","Male","Hispanic","Caucasian","f","e","e",2.49,29.85,7,0,"Leaf","1","Right","JacketLeaf",0.7,"similar"
"127","80",3428,1,"2","Male","Not Hispanic","Caucasian","f","e","e",2.14,25.68,8,0,"Grapes","1","Right","BalloonsGrapes",0.578947368421053,"similar"
"128","81",6332,1,"2","Male ","Hispanic","Caucasian","d","c","d",2.36,28.27,1,0,"Clock","1","Left","ClockBicycle",0.95,"similar"
"129","83",2828,1,"2","Male ","Not hipanic ","Caucasian ","d","g","g",2.41,28.9,3,0,"Jacket","0","Left","JacketLeaf",0.75,"similar"
"130","86",2145,1,"2","Female","Not Hispanic","Caucasian","f","g","d",2.21,26.53,6,0,"Sock","1","Right","ShoeSock",0.7,"similar"
"131","87",2792,0,"2","Male","Hispanic ","Caucasian","e","g","e",2.34,28.11,7,0,"Leaf","1","Left","JacketLeaf",0.7,"similar"
"132","88",7201,1,"2","Male ","Not Hispanic ","Native Hawaiian & Caucasian","c","c","g",2.25,26.99,8,0,"Grapes","1","Right","BalloonsGrapes",0.882352941176471,"similar"
"133","90",2656,1,"2","Male","Hispanic","Caucasian","d","g","e",2.52,30.18,2,0,"Shoe","1","Left","ShoeSock",0.9,"similar"
"134","91",8818,1,"2","Male","Not Hispanic","African American","f","g","c",2.46,29.49,3,0,"Jacket","1","Left","JacketLeaf",0.65,"similar"
"135","93",3459,1,"2","Female","Not Hispanic","Asian","","","",2.68,32.15,5,0,"Bicycle","1","Right","ClockBicycle",0.9,"similar"
"136","95",3829,1,"2","Female","Not Hispanic ","Caucasian","e","e","g",2.85,34.16,6,0,"Sock","1","Right","ShoeSock",0.95,"similar"
"137","97",11717,1,"2"," Female","Not Hispanic ","Caucasian","d","c","c",2.34,28.11,8,0,"Grapes","1","Right","BalloonsGrapes",0.85,"similar"
"138","98",5141,1,"2","Male","Hispanic","American Indian or Alaskan / Caucasian","e","g","d",2.64,31.73,1,0,"Clock","0","Left","ClockBicycle",0.736842105263158,"similar"
"139","101",2395,1,"3","Male","Caucasian",NA,"","e","e",2.52,30.21,4,0,"Ball","1","Right","SpoonBall",0.85,"dissimilar"
"140","102",2773,1,"3","Male ","Caucasian/ Asian-American",NA,"e","g","e",2.38,28.57,5,0,"Cake","1","Left","CakeDoll",0.85,"dissimilar"
"141","103",3540,1,"3","Female","Caucasian ",NA,"e","c","b",2.68,32.19,6,0,"Balloons","1","Left","BalloonsDuck ",0.9,"dissimilar"
"142","106",2629,1,"3","Female","Caucasian","","f","e","e",2.55,30.58,2,0,"Duck","1","Right","BalloonsDuck ",0.684210526315789,"dissimilar"
"143","107",2411,1,"3","Male","African American, Caucasian, American Indian, Asian-American",NA,"d","g","c",2.6,31.17,3,0,"Bear","1","Right","AppleBear",0.6,"dissimilar"
"144","108",3652,1,"3","Male","Caucasian",NA,"f","e","g",2.43,29.16,4,0,"Ball","1","Right","SpoonBall",0.65,"dissimilar"
"145","109",3087,1,"3","Male","Caucasion, Asian-American","","f","e","g",2.39,28.67,1,0,"Doll","1","Right","CakeDoll",0.8,"dissimilar"
"146","110",2639,1,"3","Male","Caucasian","","f","e","e",2.44,29.29,6,0,"Balloons","1","Left","BalloonsDuck ",0.9,"dissimilar"
