"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","similar"
"154","118",2141,1,"3","Male","Non-Hispanic","Caucasian","f","e","g",2.28,27.39,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar"
"155","121",2135,1,"3","Female","African American, Caucasian, American Indian, Asian-American","Caucasian","a","c","",2.7,32.45,1,0,"Doll","1","Right","CakeDoll","dissimilar"
"156","123",2118,1,"3","Male","Caucasian","","f","g","g",2.64,31.73,3,0,"Bear","1","Right","AppleBear","dissimilar"
"157","34",4379,0,"3","Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Duck","1","Left","BalloonsDuck ","dissimilar"
"158","35",4231,1,"3","Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Bear","1","Right","AppleBear","dissimilar"
"159","36",2885,1,"3","Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Ball","1","Right","SpoonBall","dissimilar"
"160","37",2393,1,"3","Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Cake","1","Left","CakeDoll","dissimilar"
"161","38",3786,1,"3","Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar"
"162","39",12952,1,"3","Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Apple","1","Left","AppleBear","dissimilar"
"163","40",15821,1,"3","Male","Hispanic","Caucasian","e","g","g",2.33,27.95,8,0,"Spoon","1","Left","SpoonBall","dissimilar"
"164","41",4306,1,"3","Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Doll","1","Right","CakeDoll","dissimilar"
"165","43",4293,1,"3","Female","Not Hispanic","Caucasian","f","g","e",2.33,27.95,3,0,"Bear","1","Right","AppleBear","dissimilar"
"166","44",3816,1,"3","Male","Not Hispanic","Caucasian","b","d","b",2.27,27.19,4,0,"Ball","1","Right","SpoonBall","dissimilar"
"167","45",3743,1,"3","Female","Not Hispanic","Caucasian","","d","g",2.39,28.73,5,0,"Cake","1","Left","CakeDoll","dissimilar"
"168","46",1368,1,"3","Male","Not Hispanic","Caucasian","e","e","g",2.33,27.91,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar"
"169","47",1796,1,"3","Male","Not Hispanic","Asian, Caucasian","f","g","g",2.46,29.52,7,0,"Apple","1","Left","AppleBear","dissimilar"
"170","48",2224,1,"3","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,8,0,"Spoon","1","Left","SpoonBall","dissimilar"
