Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,28,28.01,encode,57,SPACE,BLUE,1003,TRUE,69885,33,49,BLUE,1033,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,29,29.01,encode,57,SPACE,YELLOW,1033,TRUE,71069,31,48,YELLOW,1051,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,30,30.01,encode,57,SPACE,BLUE,1070,TRUE,72268,32,49,BLUE,1101,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,31,31.01,encode,57,SPACE,GREEN,1082,TRUE,73518,32,49,GREEN,1101,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,32,32.01,encode,57,SPACE,RED,1045,TRUE,74768,32,49,RED,1067,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,33,33.01,encode,57,SPACE,YELLOW,1090,TRUE,75985,32,49,YELLOW,1117,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,34,34.01,encode,57,SPACE,RED,957,TRUE,77252,32,48,RED,984,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,35,35.01,encode,57,SPACE,YELLOW,1188,TRUE,78385,33,49,YELLOW,1217,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,36,36.01,encode,57,SPACE,BLUE,1036,TRUE,79752,32,48,BLUE,1068,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,37,37.01,encode,57,SPACE,BLUE,1424,TRUE,80968,33,49,BLUE,1450,blacksquare.bmp,102
